dota
Dota2
TeamSecret
Arteezy
rtz
2ez4rtz
Artour
Babaev
s4
Magnusson
zai
KuroKy
Kuro
Salehi
Takhasomi
Puppey
Ivanov
InvictusGaming
Invictus
IG
BurNing
Xu
Zhilei
Ferrari_430
Luo
Feichi
Luo
Yinqi
ChuaN
Zeng
Hongda
Natus
Vincere
NatusVincere
Na'vi
Navi
Dendi
Dondo
DendiBoss
Danil
Ishutin
XBOCT
Oleksandr
Dashkevych
Funn1k
Gleb
Lipatnikov
ArtStyle
Antonov
SoNNeikO
Butaev
Loda
LodaBerg
EvilGeniuses
EG
Suma1L
Syed
Sumail
Hassan
UNiVeRsE
Saahil
Arora
Aui_2000
ppd
Dager
LGDGaming
LGD
Sylar
Liu
Jiajun
Yao
Zhengzheng
xiao8
Zhang
Ning
MMY!
Zengrong
Cloud9
C9
EternalEnvy
FATA-
Trinks
bOne7
Pittner
BigDaddy
nOtail
n0tail
Sundstein
MiSeRy
Rasmus
Filipsen
TeamEmpire
Airat
Gaziev
Resolut1on
Fominok
yoky
ALOHADANCE
Korobkin
ALWAYSWANNAFLY
Bondarenko
VirtusPro
Virtus.Pro
Virtus
Illidan
Ilya
Pivcaev
Sergey
Bragin
DKPhobos
Kucheria
fng
Artem
Barshak
Ilya
Ilyuk
compLexityGaming
compLexity
Zyzzy
swindlemelonzz
MoonMeander
Simbaaa
Tal
Aizik
Zfreek
Zakari
Newbee
Zhang
Shiyang
Jiao
SanSheng
Zhaohui
Fnatic
kYxY
Kang
Kecik
Imba
Fadil
Mohd
Raziff
Ohaiyo
Chong
Xin
Khoo
JoHnNy
Siong
Mushi
Chai
Yee
Fung
EHOME
Cty
Tianyu
rOtK
Bai
LaNm
Zhang
Zhicheng
DDC
Liang
CDEC
CDECGaming
Agressif
Zheng
Shiki
Jiwei
Xz
Zezhi
Garder
Liu
Xinzhou
QO
Fu
MVP.Phoenix
MVPPhoenix
kphoenii
Chok
QO
Seon-yeob
Tae-won
Febby
NutZ
Jeng
Yih
Hot6ix
Hot6
MVP.HOT6
Forev
Pyo
SunBhie
Jeong-jae
Heen
Seung-gon
JerAx
Vainikka
ViciGaming
Vici
Hao
Zhihao
Xie
Junhao
iceiceice
Koh
Xiang
Fenrir
fy
Xu
Linsen
TeamArchon
Archon
USH
Korok
Ashworth
MSS
Arif
Anwar
chad
Ionnas
Loucas
VegaSquadron
9pashaebashu
Hvastunov
No[o]ne
Minenko
Mag~
Chipenko
Berezin
CemaTheSlayeR
Semion
Krivulya
TI5
dieback
gpm
xpm
creepscore
cs
offlane
safelane
midlane
TheInternational
MLG
KeyArena
ReDeYe
TobiWan
LD
BlitzDota
ODPixel
GoDz
Zyori
Kotlguy
PyrionFlax
SyndereN
Draskyl
Wagamama
Merlini
7ckngMad
Nahaz
Sheever
NoxvilleZA
Hot_Bid
Weppas
skrff
BrunoStatsman
Statsman
Haitao
Xiaotian
Laodang
MuMu
Zycj
Freeagain
PCCold
Danche
Miao
CuoJue
AdekvatTV
Maelstorm
mob5ter
MistaFaker
ARS-ART
GodHunt
xeozor
Abaddon
alchy
alch
AncientApparition
Anti-Mage
Magina
Mangina
Batrider
Beastmaster
Bloodseeker
BountyHunter
BH
Brewmaster
Bristleback
Broodmother
CentaurWarrunner
ChaosKnight
Clinkz
Clockwerk
CrystalMaiden
DarkSeer
DS
DeathProphet
DragonKnight
DK
DrowRanger
Drow
EarthSpirit
Earthshaker
ElderTitan
EmberSpirit
Nigma
FacelessVoid
FV
Gyrocopter
Huskar
Jakiro
Juggs
KeeperOfTheLight
KoTL
Kunkka
LegionCommander
Leshrac
Lesh
Lich
Lifestealer
Naix
LoneDruid
LD
Lycan
Magnus
Meepo
Mirana
Morphling
NagaSiren
Naga
NaturesProphet
Necrophos
Necro
NightStalker
NyxAssassin
Nyx
NyxNyx
NYXNYXNYXNYX
OgreMagi
Omniknight
OutworldDevourer
PhantomAssassin
PhantomLancer
PhantomCancer
Pudge
Pugna
QueenOfPain
QOP
Rubick
SandKing
ShadowDemon
ShadowFiend
ShadowShaman
SkywrathMage
Skywrath
Slardar
Slark
Spectre
SpiritBreaker
SpaceCow
StormSpirit
Techies
TemplarAssassin
Terrorblade
Tidehunter
Timbersaw
TreantProtector
Treant
TrollWarlord
VengefulSpirit
Venomancer
NerubianWeaver
Windranger
WinterWyvern
Wyvern
WitchDoctor
WD
WraithKing
Rammpaaage
UltraKill
UllltraKilll
DoubleKill
DouuuubleKilll
GodLike
GoddddddddLiiiiike
Doto
RatDoto
AcidSpray
FireRemnant
AdaptiveStrike
AmplifyDamage
AmpDmg
AnchorSmash
AncientSeal
AphoticShield
Aphotic
ArcLightning
ChainLightning
ArcaneAura
ArcaneBolt
ArcaneOrb
ArcticBurn
AstralImprisonment
AstralSpirit
AtrophyAura
Backstab
BallLightning
BatteryAssault
BattleCry
BattleHunger
BattleTrance
Berserkers
BerserkersBlood
BerserkersCall
BerserkersRage
BlackHole
BLAAACKKKHOOOOOLLE
BladeDance
BladeFury
BlindingLight
BlinkStrike
Bloodlust
Bloodrage
BorrowedTime
BrainSap
BreatheFire
Bristleback
BurningSpear
Burrowstrike
CallDown
CausticFinale
WarStomp
ChainFrost
Chakra
ChakraMagic
Chakram
ChaosBolt
ChaosMeteor
ChaosStrike
ChaoticOffering
ChargeOfDarkness
ChemicalRage
ChillingTouch
Chronosphere
ColdEmbrace
ColdFeet
ColdSnap
ConcussiveShot
ConjureImage
CorrosiveSkin
CounterHelix
CoupDeGrace
Crit
CraggyExterior
CripplingFear
CriticalStrike
CryptSwarm
CrystalNova
CullingBlade
CurseOfAvernus
CurseOfTheSilent
DarkPact
DarkRift
DeafeningBlast
DeathPact
DeathPulse
DeathWard
Ulty
wombocombo
wombo
Decrepify
DegenAura
Degen
DemonicConversion
eidolons
DemonicPurge
DiabolicEdict
DividedWeStand
Doppelganger
DoubleEdge
DragonBlood
DragonSlave
DragonTail
DreamCoil
COOIIILLL
DrunkenBrawler
DrunkenHaze
DualBreath
EarthSpike
EarthSplitter
Earthbind
Earthshock
EchoSlam
EchoStomp
ElderDragonForm
ElectricVortex
EMP
EmpoweringHaste
EnchantRemnant
EnchantTotem
EssenceAura
EssenceShift
EtherShock
EtherealJaunt
Exort
EyeOfTheStorm
EyesInTheForest
FadeBolt
FalsePromise
FatalBonds
FatesEdict
FiendsGrip
FierySoul
FingerOfDeath
FireRemnant
FireSpirits
Fireblast
FlakCannon
FlameGuard
Flamebreak
FlamingLasso
FleshGolem
FleshHeap
FocusFire
FocusedDetonate
ForgeSpirit
ForgeSpiritMeltingStrike
FortunesEnd
FreezingField
FrostArrows
FrostBlast
FrozenSigil
Sigil
FurySwipes
FurrySwipes
GeminateAttack
Geminate
GeomagneticGrip
Geostrike
GhostFrostAttack
GhostShip
GhostWalk
GlaivesOfWisdom
Glaives
GlobalSilence
GodsStrength
GraniteAura
GraveChill
GravekeepersCloak
Gravekeeper's
GreatCleave
GreaterBash
GreaterHawkInvisibility
GreevilsGreed
Greevils
GuardianAngel
Invuln
HandOfGod
ChainLightning
Headshot
HealingWard
HeartstopperAura
Heartstopper
HeatSeekingMissile
Hellbear
HellbearSwiftnessAura
HellbearThunderClap
HolyPersuasion
HomingMissile
HoofStomp
Hookshot
HunterInTheNight
HurlBoulder
IcarusDive
IceArmor
IceBlast
IcePath
IceShards
IceVortex
IceWall
SpiritForm
IllusoryOrb
IncapacitatingBite
InnerBeast
InnerVitality
InsatiableHunger
IonShell
Jinada
KineticField
Kobold
KrakenShell
LagunaBlade
LandMines
LaunchFireSpirit
LaunchSnowball
LeechSeed
LifeBreak
LifeDrain
LightStrikeArray
LightningBolt
LightningStorm
LiquidFire
LivingArmor
LucentBeam
LunarBlessing
LVLDeath
lvl
Macropyre
MagicMissile
MagneticField
Malefice
Mana
ManaBreak
ManaBurn
ManaDrain
ManaLeak
ManaShield
ManaVoid
MarchOfTheMachines
MassSerpentWard
SerpentWard
MidnightPulse
MinefieldSign
MirrorImage
MistCoil
MomentOfCourage
MoonGlaive
Glaive
MoonlightShadow
AgilityGain
MorphAgilityGain
MorphReplicate
MorphStrengthGain
StrengthGain
MortalStrike
Multicast
MysticFlare
MysticSnake
NaturalOrder
NaturesAttendants
NaturesCall
NaturesGuise
Necromastery
NetherBlast
NetherStrike
NetherSwap
NetherWard
Nethertoxin
NullField
OgreIceArmor
IceArmor
Omnislash
OpenWounds
OverwhelmingOdds
Packleader
ParalyzingCask
PhantomRush
PhantomStrike
PhaseShift
PitOfMalice
PlagueWard
PlasmaField
PoisonAttack
PoisonNova
PoisonSting
PoisonTouch
PowerCogs
Powershot
PrecisionAura
PresenceOfTheDarkLord
Darklord
PressTheAttack
PrimalRoar
PrimalSplit
PsiBlades
PsionicTrap
Psionic
PulseNova
PurifyingFlames
Quas
QuillSpray
ReactiveArmor
RealityRift
ReapersScythe
RemoteMines
RequiemOfSouls
ReturnAstralSpirit
AstralSpirit
ReturnChakram
ReversePolarity
RipTide
RocketBarrage
RocketFlare
RollingBoulder
SacredArrow
SandStorm
SanitysEclipse
ManaBurn
UnholyAura
ScorchedEarth
ScreamOfPain
SearingArrows
SearingChains
Shackleshot
ShadowDance
ShadowPoison
ShadowPoisonRelease
ShadowStrike
ShadowWalk
ShadowWave
ShadowWord
Shadowraze
ShallowGrave
Shapeshift
Shockwave
Shukuchi
ShurikenToss
Shuriken
SkeletonWalk
Invisi
SleightOfFist
SlithereenCrush
SmokeScreen
SongOfTheSiren
SonicWave
SoulAssumption
SoulCatcher
SoulRip
SparkWraith
SpawnSpiderite
Spiderite
SpawnSpiderlings
Spiderlings
SpectralDagger
SpellImmunity
SpellShield
SpellSteal
PoisonSting
SpikedCarapace
SpiritForm
SpiritLance
SpiritsIn
SpiritsOut
SplinterBlast
SplitEarth
SplitShot
Starstorm
StasisTrap
StaticField
StaticLink
StaticRemnant
StaticStorm
StickyNapalm
StiflingDagger
StoneForm
StoneGaze
StoneRemnant
IcarusDive
SunRay
StormHammer
SuicideSquadAttack
SummonFamiliars
SummonSpiritBear
SpiritBear
SummonWolves
SunStrike
TakeAim
Teleportation
TempestDouble
TestOfFaith
TestOfFaithTeleport
Teleport
UnstableConcoction
ThunderClap
ThunderStrike
ThundergodsWrath
Thundergods
ThunderhideFrenzy
Thunderhide
ThunderhideSlam
Tidebringer
TimberChain
TimeLapse
TimeLock
TimeWalk
TrueForm
TrueFormReturn
Unburrow
UnrefinedFireblast
Fireblast
UnstableCurrent
VampiricAura
VengeanceAura
VenomousGale
Vhoul
EnvenomedWeapon
ViperStrike
NasalGoo
VoodooRestoration
WallOfReplica
WalrusKick
WalrusPunch
WaningRift
Warcry
WaveOfTerror
Wex
WhirlingAxes
Melee
WhirlingDeath
WildAxes
Wildkin
WindWalk
Windrun
WintersCurse
CriticalStrike
WraithfireBlast
WrathOfNature
XMarksTheSpot
X-MarksTheSpot
PowerTreads
AghanimsScepter
Aghanims
Aghs
TownPortalScroll
TPScroll
TP
BlinkDagger
Blinkstick
PhaseBoots
BlackKingBar
Blackking
BKB
ArcaneBoots
MagicWand
BootsOfTravel
TranquilBoots
Tranqs
Traquils
ShadowBlade
Desolator
Blademail
ForceStaff
SangeAndYasha
Sange
Yasha
SnY
S&Y
EulsScepterOfDivinity
ESoD
Euls
EulsScepter
MaskOfMadness
MoM
HelmOfTheDominator
RingOfAquila
HeartOfTarrasque
Tarrasque
VladmirsOffering
Vlads
UrnOfShadows
MonkeyKingBar
Monkeyking
MKB
SkullBasher
Mekansm
BattleFury
BootsOfSpeed
BrownBoots
SoulRing
MantaStyle
OgreClub
DustOfAppearance
OrchidMalevolence
Crystalys
NullTalisman
StoutShield
ArmletOfMordiggian
Mordiggian
SilverEdge
HandOfMidas
AssaultCuirass
Cuirass
Bracers
EyeOfSkadi
Skadi
IronBranch
PoorMansShield
Poormans
PointBooster
DrumOfEndurance
QuellingBlade
Obs
Mjollnir
LinkensSphere
Linkens
Yasha
GlimmerCape
StaffOfWizardry
RefresherOrb
GemOfTrueSight
TrueSight
AbyssalBlade
GhostScepter
ScytheOfVyse
Vyse
RingOfBasilius
ShivasGuard
Shivas
ShivaGuard
GuardianGreaves
Greaves
MithrilHammer
Mithril
MagicStick
Dagon
SentryWard
CrimsonGuard
Hyperstone
PipeOfInsight
OctarineCore
Octarine
UltimateOrb
OrbOfVenom
DiffusalBlade
Diffusal
Reaver
VitalityBooster
DemonEdge
WraithBand
Platemail
MysticStaff
MoonShard
BladeOfAlacrity
BootsOfTravel
BoT
BoTs
VoidStone
DiffusalBlade
VeilOfDiscord
HeavensHalberd
AegisOfTheImmortal
